parameter,mu,mu_star,sigma,mu_star_conf,parameter_type,original_index
capacity_3,-54.74476190476172,54.74476190476172,67.41265824240736,35.62878329647443,capacities,3
demand_1,41.86625371120262,41.86625371120262,68.48868687019682,43.45533929337173,demands,1
fixed_cost_0,30.935802469135695,30.935802469135695,29.5315256542627,17.59135303222693,fixed_costs,0
fixed_cost_4,25.925679234475762,25.925679234475762,23.252110346002585,14.901063662288351,fixed_costs,4
fixed_cost_3,25.628065268064308,25.628065268064308,28.14574608937948,17.377009065219422,fixed_costs,3
demand_2,19.04416127833555,19.04416127833555,48.228662919217655,25.255836517257258,demands,2
fixed_cost_2,16.599583333333378,16.599583333333378,23.81853856797038,14.75249947983363,fixed_costs,2
demand_4,15.397752442002547,15.397752442002547,37.206221061833666,21.092243746111745,demands,4
fixed_cost_1,10.054162257495474,10.054162257495474,16.745278004700687,8.729194503533815,fixed_costs,1
trans_cost_1_3,3.1999999999999886,3.1999999999999886,3.373096170846259,2.1467403198733175,transportation_costs,"(1, 3)"
trans_cost_0_3,2.8182417582417685,2.8182417582417685,3.80157497704337,2.2337322316317354,transportation_costs,"(0, 3)"
trans_cost_2_3,2.6188888888889013,2.6188888888889013,2.8128650654703073,1.698947719831225,transportation_costs,"(2, 3)"
trans_cost_4_1,2.28000000000002,2.28000000000002,2.585773041514338,1.5500611418627783,transportation_costs,"(4, 1)"
trans_cost_4_3,2.171428571428572,2.171428571428572,2.879909295623807,1.6172832294791994,transportation_costs,"(4, 3)"
trans_cost_3_3,2.160000000000005,2.160000000000005,3.4779304190854736,1.9324077475636183,transportation_costs,"(3, 3)"
trans_cost_1_1,1.7583333333331468,1.7583333333331468,2.05127557424179,1.1858640681082204,transportation_costs,"(1, 1)"
trans_cost_0_0,1.6000000000000114,1.6000000000000114,2.065591117977304,1.2883643567087883,transportation_costs,"(0, 0)"
trans_cost_3_0,1.4114285714285644,1.4114285714285644,2.2739458946889517,1.2245624584425467,transportation_costs,"(3, 0)"
trans_cost_4_0,1.3482125603864716,1.3482125603864887,2.1072468050451443,1.14298897211514,transportation_costs,"(4, 0)"
capacity_0,-1.30533333333141,1.30533333333141,3.1238531305609407,2.229165237640293,capacities,0
trans_cost_1_4,0.9473055555560592,0.9473055555560592,2.2681657097156935,1.1714723845020967,transportation_costs,"(1, 4)"
trans_cost_0_1,0.8474074074074125,0.8474074074074125,1.5888776655047026,0.980878692008871,transportation_costs,"(0, 1)"
trans_cost_2_2,0.7733333333329938,0.7733333333329938,1.6886549545581884,0.8761952443877296,transportation_costs,"(2, 2)"
trans_cost_3_2,0.6800000000000039,0.6800000000000039,1.461201940565074,0.8779012267373728,transportation_costs,"(3, 2)"
trans_cost_1_2,0.5172710622707143,0.5172710622707143,1.032365724302557,0.6484456176519163,transportation_costs,"(1, 2)"
trans_cost_3_1,0.34898395721918973,0.3489839572193091,0.8082030324189459,0.4217544393608102,transportation_costs,"(3, 1)"
trans_cost_1_0,0.33890476190538266,0.33890476190538266,0.751458965409534,0.4090572854389474,transportation_costs,"(1, 0)"
capacity_2,-0.3333333333342893,0.3333333333342893,1.0540925533924828,0.6158172490713982,capacities,2
demand_0,0.31739658182113145,0.31739658182113145,0.4992220702879725,0.34460127737549967,demands,0
trans_cost_2_0,0.27203174603177444,0.27203174603177444,0.652488393424266,0.4129096620684595,transportation_costs,"(2, 0)"
trans_cost_3_4,0.16627450980390393,0.16627450980392097,0.5258061678083635,0.2947622543522166,transportation_costs,"(3, 4)"
trans_cost_0_2,0.1200000000000017,0.1200000000000017,0.37947331922021094,0.21216388951430146,transportation_costs,"(0, 2)"
demand_3,0.11071428571429465,0.11071428571429465,0.19666291936936434,0.1203795959544627,demands,3
trans_cost_4_2,0.037692307692304895,0.037692307692304895,0.1191935425755685,0.07121592754955883,transportation_costs,"(4, 2)"
trans_cost_2_4,0.0,0.0,0.0,0.0,transportation_costs,"(2, 4)"
trans_cost_2_1,0.0,0.0,0.0,0.0,transportation_costs,"(2, 1)"
trans_cost_0_4,0.0,0.0,0.0,0.0,transportation_costs,"(0, 4)"
capacity_4,0.0,0.0,0.0,0.0,capacities,4
capacity_1,0.0,0.0,0.0,0.0,capacities,1
trans_cost_4_4,0.0,0.0,0.0,0.0,transportation_costs,"(4, 4)"
