parameter,ST,ST_conf,parameter_type,original_index
capacity_3,0.6409778078940497,0.019481298518157927,capacities,3
demand_2,0.2818390798647611,0.014705827936634665,demands,2
demand_1,0.2384441578738048,0.01469310623385598,demands,1
demand_4,0.20380856084211812,0.01436181609389936,demands,4
demand_0,0.18804450088572106,0.013528414219723946,demands,0
demand_3,0.17139860721398123,0.014805922835354623,demands,3
fixed_cost_0,0.11079737303351564,0.004040163943973034,fixed_costs,0
fixed_cost_2,0.058664497983509915,0.0022073332809604464,fixed_costs,2
fixed_cost_3,0.04646361161822684,0.0020039807940311102,fixed_costs,3
fixed_cost_4,0.04435193707338002,0.0018801007198617483,fixed_costs,4
capacity_1,0.034562574800134305,0.006535940434549551,capacities,1
fixed_cost_1,0.012151521126388185,0.0007564984899753368,fixed_costs,1
capacity_4,0.0018034400982769026,0.0013286945879227975,capacities,4
trans_cost_4_0,0.0005428996219748265,1.999915364582547e-05,transportation_costs,"(4, 0)"
trans_cost_0_0,0.0004984837769716611,1.769897746666417e-05,transportation_costs,"(0, 0)"
capacity_0,0.0004919233256584092,0.00020221427362413386,capacities,0
trans_cost_0_3,0.0004647377532243132,2.8465760973024634e-05,transportation_costs,"(0, 3)"
trans_cost_1_3,0.0004110101305969216,2.0568791160098975e-05,transportation_costs,"(1, 3)"
trans_cost_2_4,0.000409166879552964,2.004476091092553e-05,transportation_costs,"(2, 4)"
trans_cost_1_0,0.00039149561931192174,1.8336212109160465e-05,transportation_costs,"(1, 0)"
trans_cost_2_3,0.0003840137933797561,1.8585938913096647e-05,transportation_costs,"(2, 3)"
trans_cost_3_3,0.00038213208623689727,2.199538646834012e-05,transportation_costs,"(3, 3)"
trans_cost_3_0,0.00037222983382732583,1.7560764881878105e-05,transportation_costs,"(3, 0)"
trans_cost_4_3,0.0003311315375194663,1.8251091288774044e-05,transportation_costs,"(4, 3)"
trans_cost_1_2,0.0003204340293864258,1.5023145388975822e-05,transportation_costs,"(1, 2)"
capacity_2,0.00029335539610964685,0.000152433121307444,capacities,2
trans_cost_3_2,0.0002881037197781435,1.1205743566203569e-05,transportation_costs,"(3, 2)"
trans_cost_2_2,0.0002495220133890869,1.4042686103427075e-05,transportation_costs,"(2, 2)"
trans_cost_2_0,0.0001932794646322828,9.253282563223246e-06,transportation_costs,"(2, 0)"
trans_cost_1_1,0.00013142004974843734,8.04403134577844e-06,transportation_costs,"(1, 1)"
trans_cost_0_2,0.00011607923785164856,1.1364500964217705e-05,transportation_costs,"(0, 2)"
trans_cost_3_4,0.00010287231738296556,8.780945989580719e-06,transportation_costs,"(3, 4)"
trans_cost_0_4,9.916324256328073e-05,1.0262715746367783e-05,transportation_costs,"(0, 4)"
trans_cost_0_1,9.897147068213462e-05,7.455815842037135e-06,transportation_costs,"(0, 1)"
trans_cost_4_1,9.587811872164758e-05,8.50478482700975e-06,transportation_costs,"(4, 1)"
trans_cost_1_4,9.229536813189908e-05,8.407576181997179e-06,transportation_costs,"(1, 4)"
trans_cost_4_4,8.468671680421749e-05,7.809178340626276e-06,transportation_costs,"(4, 4)"
trans_cost_4_2,8.049843734329182e-05,7.5476427084770785e-06,transportation_costs,"(4, 2)"
trans_cost_3_1,6.309761030755837e-05,7.151775565492099e-06,transportation_costs,"(3, 1)"
trans_cost_2_1,2.6080023633927854e-05,4.597675927346142e-06,transportation_costs,"(2, 1)"
