param_id,param_name,z_plus,z_minus,elasticity
0,demand_0,366.1,366.1,0.0
1,demand_1,366.16666667000004,366.0,0.0022762451515984774
2,demand_2,366.18181818000005,366.0,0.0024831764545213087
3,demand_3,366.13333333,366.033333369,0.0013657465310029672
4,demand_4,366.1,366.1,0.0
5,capacity_0,366.1,366.1,0.0
6,capacity_1,366.1,366.1,0.0
7,capacity_2,366.0,366.0,0.0
8,capacity_3,366.1,366.1,0.0
9,capacity_4,366.1,366.1,0.0
10,fixed_cost_0,381.1,366.1,0.20486205954657197
11,fixed_cost_1,366.1,366.1,0.0
12,fixed_cost_2,368.0,356.1,0.16252390057361343
13,fixed_cost_3,366.1,364.4,0.02321770008194544
14,fixed_cost_4,366.1,363.0,0.04233815897295851
15,transp_cost_0_0,367.1,366.1,0.013657470636438131
16,transp_cost_0_1,366.1,366.1,0.0
17,transp_cost_0_2,366.1,366.1,0.0
18,transp_cost_0_3,366.1,366.1,0.0
19,transp_cost_0_4,366.1,366.1,0.0
20,transp_cost_1_0,366.1,365.0,0.015023217700082253
21,transp_cost_1_1,366.1,366.1,0.0
22,transp_cost_1_2,367.0,364.1,0.03960666484567027
23,transp_cost_1_3,366.1,366.1,0.0
24,transp_cost_1_4,366.1,366.1,0.0
25,transp_cost_2_0,366.12,365.0,0.015296367112810768
26,transp_cost_2_1,366.1,366.1,0.0
27,transp_cost_2_2,367.0,364.12,0.03933351543294175
28,transp_cost_2_3,366.1,366.1,0.0
29,transp_cost_2_4,366.1,366.0,0.0013657470636441237
30,transp_cost_3_0,366.1,366.0,0.0013657470636441237
31,transp_cost_3_1,366.1,366.1,0.0
32,transp_cost_3_2,367.1,366.1,0.013657470636438131
33,transp_cost_3_3,366.1,366.1,0.0
34,transp_cost_3_4,366.1,366.1,0.0
35,transp_cost_4_0,367.1,365.1,0.027314941272876262
36,transp_cost_4_1,366.1,366.1,0.0
37,transp_cost_4_2,366.1,366.1,0.0
38,transp_cost_4_3,366.1,366.1,0.0
39,transp_cost_4_4,366.1,366.1,0.0
