parameter,mu_star,sigma
demand_0,30.49999999999999,74.36583743748051
demand_1,76.587962965,101.49682336547345
demand_2,58.499999999999986,86.9242965650763
demand_3,31.000000000000007,69.15361322607968
demand_4,55.0,92.61629326299868
capacity_0,4.499999999999996,14.230249470757695
capacity_1,11.499999999999986,21.219749710535623
capacity_2,4.000000000000003,7.378647873726221
capacity_3,0.0,0.0
capacity_4,6.499999999999997,20.554804791094455
fixed_cost_0,5.7597402599999965,12.27393162420002
fixed_cost_1,1.259740259999988,3.1776484149242874
fixed_cost_2,5.000000000000002,10.0
fixed_cost_3,16.49999999999997,17.00490125424626
fixed_cost_4,16.999999999999982,21.369760566432802
transp_cost_0_0,0.49999999999999717,1.5811388300841804
transp_cost_0_1,1.2546296300000008,3.175298232059019
transp_cost_0_2,0.0,0.0
transp_cost_0_3,3.745370370000013,4.890804373318651
transp_cost_0_4,4.087962965000007,5.095306514485704
transp_cost_1_0,0.49999999999999717,1.5811388300841804
transp_cost_1_1,3.254629629999998,4.42242326185108
transp_cost_1_2,0.0,0.0
transp_cost_1_3,2.4999999999999987,4.249182927993983
transp_cost_1_4,2.0000000000000013,4.216370213557841
transp_cost_2_0,0.9999999999999986,3.162277660168375
transp_cost_2_1,1.5000000000000129,3.3747427885527634
transp_cost_2_2,0.0,0.0
transp_cost_2_3,3.0,4.83045891539648
transp_cost_2_4,2.142857144999995,3.6576884541557595
transp_cost_3_0,0.0,0.0
transp_cost_3_1,2.9999999999999956,4.8304589153964725
transp_cost_3_2,0.0,0.0
transp_cost_3_3,4.857142854999999,5.137563411330528
transp_cost_3_4,0.9999999999999858,2.1081851067788895
transp_cost_4_0,1.4999999999999871,3.374742788552733
transp_cost_4_1,2.254629630000008,4.158660002701912
transp_cost_4_2,0.9999999999999986,3.162277660168375
transp_cost_4_3,3.5000000000000058,4.743416490252571
transp_cost_4_4,3.4999999999999973,4.743416490252568
