parameter,S1,ST,S1_conf,ST_conf
demand_0,0.11395884545094437,0.37835475070243835,0.017898880899774004,0.017752090446226634
demand_1,0.11055914102584197,0.37161662725059175,0.016594531943096406,0.018485703540536004
demand_2,0.11755770374656764,0.3711365328546129,0.018838952278928366,0.01888359103211065
demand_3,0.11667520534263777,0.37456544647027085,0.017427654363407038,0.017261180366074925
demand_4,0.12885747309740225,0.3888224327144436,0.019003763646116705,0.0195465074861662
capacity_0,0.009603680274259998,0.07047277400377656,0.0069417152904443094,0.008391841340745432
capacity_1,0.0071045127918970006,0.0773906729219678,0.007530133347582931,0.008571548247878966
capacity_2,0.005967558376717349,0.06771916853692227,0.0077115426416358695,0.007736432413265283
capacity_3,0.011827677235979136,0.06770341161207573,0.007689435917682872,0.008047558303162889
capacity_4,0.0051137641799024625,0.06761270667122131,0.007524213407866996,0.007959659465081263
fixed_cost_0,0.003233017942908808,0.0066432924363250875,0.0026355560972458236,0.00039672078649170237
fixed_cost_1,0.0026374319324770244,0.006730704032483059,0.0024045811004279483,0.0003780106256018582
fixed_cost_2,0.003978142854666812,0.0066494800597853,0.0024692271824428144,0.00036942153285336976
fixed_cost_3,0.0014077387331385578,0.0066965614308941955,0.002626373020794104,0.0003741887598654792
fixed_cost_4,0.0026850485534410883,0.0065654255182946986,0.0025109683065602604,0.0003578393635444184
transp_cost_0_0,1.8103476155919282e-05,0.00027989581210840705,0.0005644600572942427,1.932388911884453e-05
transp_cost_0_1,0.0001154455159100165,0.0002813943650557894,0.0005728869895185741,2.2629932876022124e-05
transp_cost_0_2,-0.0005599154888799813,0.0002799882424304185,0.0005541919668213915,2.1421102355146037e-05
transp_cost_0_3,-0.00010333371197905629,0.00027332406179353185,0.000527567302912032,2.1158042443630194e-05
transp_cost_0_4,0.0002966565254822411,0.00028437850633547296,0.0004953207039065874,2.137695519812959e-05
transp_cost_1_0,-0.00029344262288244645,0.0002867604972649724,0.0005274147787274477,2.1080342590967295e-05
transp_cost_1_1,-0.00019757998371172048,0.0002895140502683138,0.0005129109364422945,2.201857768598333e-05
transp_cost_1_2,0.0003371540914753492,0.00027089058169673855,0.00048745332104633654,2.136273556844724e-05
transp_cost_1_3,0.0005039480591854783,0.0002889080606888286,0.0004994015757701071,1.9061548446795234e-05
transp_cost_1_4,0.00026763908384196827,0.0002927059244552637,0.0005413439710692299,2.0659037406709688e-05
transp_cost_2_0,0.00019260782238381826,0.00027607500876859737,0.0005526724692531969,2.066984330512951e-05
transp_cost_2_1,1.8179913109911708e-05,0.00026565370857955557,0.0005433400340214681,2.0136064873428574e-05
transp_cost_2_2,-7.835690708068177e-05,0.0002787600139476108,0.0005013605719600686,2.208471298332234e-05
transp_cost_2_3,0.00014506189822748042,0.0002832799074774261,0.0005014679075718272,1.8846531627225405e-05
transp_cost_2_4,-7.601024334518481e-05,0.000280347841988902,0.000523610899635847,2.087650675314764e-05
transp_cost_3_0,-0.0002743739707620323,0.00028793967920298473,0.0005437529486627947,2.2598180318707925e-05
transp_cost_3_1,-4.911880164373201e-05,0.00028662915110446395,0.0005818902785171331,2.0486044713510716e-05
transp_cost_3_2,-0.000610807235142404,0.000281250925452618,0.0005042421606142273,2.1712933133087975e-05
transp_cost_3_3,4.028601834404874e-05,0.00028194286728399086,0.0005012431855435808,1.9941957241914536e-05
transp_cost_3_4,0.00011828504595613531,0.00027864379811881547,0.0004408786745481204,2.0571594303880478e-05
transp_cost_4_0,-0.0004851863392337679,0.0002916527771893555,0.00046128216607882493,1.9416007847624638e-05
transp_cost_4_1,-0.00025049901867183833,0.0002819650364030955,0.0005333525322824275,1.8787726366647726e-05
transp_cost_4_2,0.0001856126795256801,0.00027893003509111777,0.000458093455203169,2.109443203447085e-05
transp_cost_4_3,1.1072557310739944e-05,0.00029149752984244606,0.0005710277356788968,2.1297521777228838e-05
transp_cost_4_4,0.0003078721035261268,0.0002824608630495433,0.00047869433503247046,2.1852465291172796e-05
